Word,Description
Nymph,a larva of an insect with incomplete metamorphosis (as the dragonfly or mayfly)
Nyssa,tupelos: deciduous trees of moist habitats especially swamps and beside ponds
Oaken,consisting of or made of wood of the oak tree
Oakum,loose hemp or jute fiber obtained by unravelling old ropes; when impregnated with tar it was used to caulk seams and pack joints in wooden ships
Oasis,a shelter serving as a place of safety or sanctuary
Oaten,of or related to or derived from oats
Oates,United States writer (born in 1938)
Obeah,a religious belief of African origin involving witchcraft and sorcery; practiced in parts of the West Indies and tropical Americas
Obese,excessively fat
Occam,English scholastic philosopher and assumed author of Occam's Razor (1285-1349)
Occur,come to pass
Ocean,a large body of water constituting a principal part of the hydrosphere
Ocher,of a moderate orange-yellow color
Ochna,type genus of Ochnaceae; evergreen trees and shrubs of Old World tropics
Ochoa,United States biochemist (born in Spain) who studied the biological synthesis of nucleic acids (1905-1993)
Ochre,of a moderate orange-yellow color
Octad,the cardinal number that is the sum of seven and one
Octal,of or pertaining to a number system having 8 as its base
Octet,a musical composition written for eight performers
Oddly,in a manner differing from the usual or expected
Odesa,a port city of south central Ukraine on an arm of the Black Sea
Odets,United States playwright (1906-1963)
Odist,a poet who writes odes
Odium,hate coupled with disgust
Odour,any property detected by the olfactory system
Offal,viscera and trimmings of a butchered animal often considered inedible by humans
Offer,a usually brief attempt
Often,many times at short intervals
Ogden,a town in northern Utah settled by Mormons
Ogive,front consisting of the conical head of a missile or rocket that protects the payload from heat during its passage through the atmosphere
Ogler,a viewer who gives a flirtatious or lewd look at another person
Ohmic,of or relating to or measured in ohms
Oiled,treated with oil
Oiler,a cargo ship designed to carry crude oil in bulk
Okapi,similar to the giraffe but smaller with much shorter neck and stripe on the legs
Olden,long past
Older,skilled through long experience
Oldie,a song that was formerly popular
Olein,a naturally occurring glyceride of oleic acid that is found in fats and oils
Olive,of a yellow-green color similar to that of an unripe olive
Olmec,a member of an early Mesoamerican civilization centered around Veracruz that flourished between 1300 and 400 BC
Ology,an informal word (abstracted from words with this ending) for some unidentified branch of knowledge
Omaha,thoroughbred that won the triple crown in 1935
Omani,of or relating to Oman or its people
Omega,the last (24th) letter of the Greek alphabet
Omiya,a city of east central Honshu; a suburb of Tokyo
Onega,lake in northwestern Russia near the border with Finland; second largest lake in Europe
Onion,an aromatic flavorful vegetable
Onset,(military) an offensive against an enemy (using weapons)
Oomph,the activeness of an energetic personality
Ootid,mature ovum after penetration by sperm but before the formation of a zygote
Opepe,large African forest tree yielding a strong hard yellow to golden brown lumber; sometimes placed in genus Sarcocephalus
Opera,a building where musical dramas are performed
Opine,"expect, believe, or suppose"
Opium,an addictive narcotic extracted from seed capsules of the opium poppy
Opsin,retinal protein formed by the action of light on rhodopsin
Optez,an artificial language
Optic,relating to or using sight
Orach,any of various herbaceous plants of the genus Atriplex that thrive in deserts and salt marshes
Orang,large long-armed ape of Borneo and Sumatra having arboreal habits
Orate,talk pompously
Orbit,an area in which something acts or operates or has power or control:
Orcus,god of the underworld; counterpart of Greek Pluto
Orczy,British writer (born in Hungary) (1865-1947)
Order,the act of putting things in a sequential arrangement
Oread,(Greek mythology) one of the mountain nymphs
Organ,(music) an electronic simulation of a pipe organ
Oriel,a projecting bay window corbeled or cantilevered out from a wall
Orion,a constellation on the equator to the east of Taurus; contains Betelgeuse and Rigel
Oriya,a Magadhan language that is spoken by the Oriya and is the official language of the Indian state of Orissa
Orlon,an acrylic fiber or the lightweight crease-resistant fabric made with Orlon yarns
Orlop,the fourth or lowest deck
Ormer,an abalone found near the Channel Islands
Orono,a university town in east central Maine on the Penobscot River to the north of Bangor
Orpin,perennial northern temperate plant with toothed leaves and heads of small purplish-white flowers
Orris,fragrant rootstock of various irises especially Florentine iris; used in perfumes and medicines
Oryza,rice
Osage,the Dhegiha dialect spoken by the Osage
Osaka,port city on southern Honshu on Osaka Bay; a commercial and industrial center of Japan
Oscan,an extinct Italic language of ancient southern Italy
Oscar,an annual award by the Academy of Motion Picture Arts and Sciences for achievements in motion picture production and performance
Osier,any of various willows having pliable twigs used in basketry and furniture
Other,very unusual; different in character or quality from the normal or expected; - Lance Morrow
Ottar,essential oil or perfume obtained from flowers
Otter,freshwater carnivorous mammal having webbed and clawed feet and dark brown fur
Ouija,a board with the alphabet on it; used with a planchette to spell out supernatural messages
Oujda,a city in northeastern Morocco near the Algerian border
Ounce,large feline of upland central Asia having long thick whitish fur
Ousel,common black European thrush
Outdo,be or do something to a greater degree
Outer,being on or toward the outside of the body
Outgo,money paid out; an amount spent
Outre,conspicuously or grossly unconventional or unusual
Ouzel,common black European thrush
Ovary,(vertebrates) one of usually two organs that produce ova and secrete estrogen and progesterone
Ovate,rounded like an egg
Overt,open and observable; not secret or hidden
Ovine,of or pertaining to or of the nature of or characteristic of a sheep or sheep
Ovoid,rounded like an egg
Ovolo,a convex molding having a cross section in the form of a quarter of a circle or of an ellipse
Ovral,trade name for an oral contraceptive containing estradiol and norgestrel
Ovule,a small or immature ovum
Owens,United States athlete and Black American whose success in the 1936 Olympic Games in Berlin outraged Hitler (1913-1980)
Owing,owed as a debt
Owlet,young owl
Owned,having an owner; often used in combination
Owner,(law) someone who owns (is legal possessor of) a business
Oxbow,a wooden framework bent in the shape of a U; its upper ends are attached to the horizontal yoke and the loop goes around the neck of an ox
Oxeye,an oval or round dormer window
Oxide,any compound of oxygen with another element or a radical
Oxime,any compound containing the group -C=NOH
Oxlip,Eurasian primrose with yellow flowers clustered in a one-sided umbel
Ozawa,United States conductor (born in Japan in 1935)
Ozena,a chronic disease of the nose characterized by a foul-smelling nasal discharge and atrophy of nasal structures
Ozone,a colorless gas (O3) soluble in alkalis and cold water; a strong oxidizing agent; can be produced by electric discharge in oxygen or by the action of ultraviolet radiation on oxygen in the stratosphere (where it acts as a screen for ultraviolet radiation)
